"Data";"Dim";"OOB";"Test";"Time"
"BLCA";"248 x 3105";"0.985887893401718";"0.983870967741935";"0.229330015182495"
"COAD";"280 x 3195";"0.95635662015163";"0.985714285714286";"0.312889035542806"
"ESCA";"97 x 2810";"0.841231134054714";"0.791666666666667";"0.098637048403422"
"HNSC";"329 x 2982";"0.983527228787861";"1";"0.298895800113678"
"KIRC";"258 x 2429";"0.97801826854619";"1";"0.177926448980967"
"KIRP";"199 x 2614";"0.792074949227633";"0.8";"0.163783033688863"
"LIHC";"238 x 2776";"0.984194910996673";"0.95";"0.180111312866211"
"LGG";"363 x 2541";"0.98452617883416";"0.989010989010989";"0.257683050632477"
"LUAD";"339 x 3150";"0.991393806178262";"1";"0.34826416571935"
"LUSC";"292 x 3142";"0.983465302790189";"1";"0.290840435028076"
"PAAD";"114 x 2489";"0.971302640035366";"1";"0.0832258820533752"
"SARC";"146 x 2478";"0.951119105120691";"1";"0.104991598924001"
"SKCM";"211 x 3186";"0.968845026348547";"0.981132075471698";"0.220590170224508"
"STAD";"227 x 3225";"0.978154378765816";"0.982456140350877";"0.225176731745402"
