"Data";"Block";"Dim";"OOB";"Test";"Time"
"BLCA";"rna";"248 x 578";"0.722724505277485";"0.870967741935484";"0.0494184176127116"
"BLCA";"cnv";"248 x 1450";"0.991515315724176";"0.951612903225806";"0.0836092988650004"
"COAD";"rna";"280 x 556";"0.944573067262299";"0.942857142857143";"0.0522873838742574"
"COAD";"cnv";"280 x 1450";"0.990871357508734";"0.985714285714286";"0.105658249060313"
"ESCA";"rna";"97 x 638";"0.842495458991577";"0.791666666666667";"0.0138098160425822"
"ESCA";"cnv";"97 x 1450";"0.936322540893339";"1";"0.0362256010373433"
"HNSC";"rna";"329 x 539";"0.717060633283607";"0.817073170731707";"0.0646291176478068"
"HNSC";"cnv";"329 x 1450";"0.989374083118192";"0.98780487804878";"0.118567434946696"
"KIRC";"rna";"258 x 575";"0.86010519560363";"0.921875";"0.0494014024734497"
"KIRC";"cnv";"258 x 1450";"0.997901481870346";"1";"0.0906473676363627"
"KIRP";"rna";"199 x 814";"0.724543661260373";"0.78";"0.0516366362571716"
"KIRP";"cnv";"199 x 1450";"0.988446756431599";"1";"0.0696661154429118"
"LIHC";"rna";"238 x 526";"0.726094096498879";"0.7";"0.0427973826726278"
"LIHC";"cnv";"238 x 1450";"0.98263041388766";"0.95";"0.094100034236908"
"LGG";"rna";"363 x 558";"0.529708783029584";"0.593406593406593";"0.082141633828481"
"LGG";"cnv";"363 x 1450";"0.997981243499356";"0.989010989010989";"0.146637717882792"
"LUAD";"rna";"339 x 593";"0.85771137527404";"0.870588235294118";"0.0728020668029785"
"LUAD";"cnv";"339 x 1450";"0.995252855871375";"1";"0.132344150543213"
"LUSC";"rna";"292 x 589";"0.967141784018392";"1";"0.0890966137250264"
"LUSC";"cnv";"292 x 1450";"0.987987788278681";"1";"0.104157201449076"
"PAAD";"rna";"114 x 560";"0.546609651449834";"0.535714285714286";"0.0194808681805929"
"PAAD";"cnv";"114 x 1450";"0.976653547193038";"1";"0.0447648008664449"
"SARC";"rna";"146 x 572";"0.902805742959413";"0.972972972972973";"0.0245007673899333"
"SARC";"cnv";"146 x 1450";"0.974313764548455";"0.972972972972973";"0.0599758982658386"
"SKCM";"rna";"211 x 557";"0.650008127051178";"0.622641509433962";"0.0393115321795146"
"SKCM";"cnv";"211 x 1450";"0.970155750359699";"0.981132075471698";"0.0880627830823262"
"STAD";"rna";"227 x 652";"0.660994391827239";"0.526315789473684";"0.051386837164561"
"STAD";"cnv";"227 x 1450";"0.979854201348068";"0.982456140350877";"0.0893637816111247"
